名字,开放时间,评分,建议游玩时间,门票,来源城市
"北京凤凰岭景区Fenghuangling Natural Scenic Area",07:00-17:00,4.6,6,25,北京
"石林峡ShilinGorge",08:00-17:00,4.5,4.5,68,北京
"白瀑寺Baipu Temple",08:00-17:00,4.5,2.5,1,北京
"明十三陵Ming Tombs",08:30-16:30,4.5,3.5,20,北京
"香山公园Fragrant Hills Park",6:00-18:30,4.7,3,5,北京
"大觉寺Dajue Temple",09:00-17:00,4.6,1,1.4,北京
"红螺寺Hongluo Temple",08:30-17:00,4.8,3.5,54,北京
"中华民族博物院China Ethnic Culture Park",08:30-17:00,4.5,4.5,45,北京
"龙门涧风景区Scenic Spots of Longmenjian",8:00-19:00,4.3,12,35,北京
"司马台长城Simatai Great Wall",9:00-15:00,4.7,3,40,北京
"北京国际鲜花港Beijing International Flower Port",09:00-17:00,4.6,2.5,30,北京
"野鸭湖国家湿地公园Beijing Wild Duck Lake National Wetland Park",9:00-16:00,4.5,3,49.5,北京
"九眼楼Jiuyanlou Mountain",8:00-18:00,4,1.5,40,北京
"紫竹院公园Purple Bamboo Park",06:00-21:00,4.7,1.5,120,北京
"双龙峡Shuanglong Gorge",08:00-17:30,4.5,3,15,北京
"京东大峡谷Jingdong Grand Canyon",7:00-17:00,4.4,3.5,67,北京
"灵水村Lingshui Village",8:30-17:30,4.3,12,20,北京
"银山塔林Yinshan Pagoda Forest",8:00-16:00,4.7,1,15,北京
"北海老街Beihai Old Street",09:00-21:30,4.6,2.5,9.8,北海
"五彩滩Wucai Beach",8:00-18:00,4.3,3.5,599,北海
"涠洲岛灯塔Weizhou Island Lighthouse",8:00-17:30,4.2,0.75,599,北海
"北海园博园Beihai International Garden and Flower Expo Park",9:00-22:00,4.4,2.5,279,北海
"海洋之窗Beihai Ocean Garden",08:00-18:00,4,2.5,147,北海
"北海海底世界Beihai Undersea World",8:00-18:00,4.5,2.5,148,北海
"涠洲盛塘天主教堂Catholic Church",8:00-17:30,4.3,1.5,98,北海
"鳄鱼山景区Crocodile mountain Scenic Area",8:00-18:00,4.5,3.5,599,北海
"圣母堂St. Mary's Church",08:30-18:00,3.8,1.5,5,北海
"三婆庙Sanpo Temple",8:00-18:00,3.8,0.75,0,北海
"火山地质博物馆",08:30-17:30,3.7,1,0,北海
"长青公园",8:00-16:30,4,3,0,北海
"涠洲岛主标志广场Weizhou Island Landmark Square",9:00-17:00,4.1,0.75,1,北海
"鳄鱼山",8:00-18:00,4.6,2.5,98,北海
"金顶",5:30-18:00,4.6,1.5,243,十堰
"南岩",7:00-17:00,4.7,1.5,243,十堰
"玉虚宫Yuxu Temple",8:00-17:30,4.4,1,5,十堰
"武当太极湖Wudang Taiji Lake",9:00-17:00,4.4,12,2,十堰
"南天门Heavenly Southern Gate",7:30-17:00,4.5,0.75,243,十堰
"雷神洞Thunder God Cave",7:30-17:00,4.4,0.35,243,十堰
"五龙宫Wulong Temple",7:00-18:00,4.4,1.5,0,十堰
"野人谷Savage Valley",8:00-18:00,4.4,12,60,十堰
"牛首山文化旅游区Niushou Mountain Cultural Tourism Zone",08:30-17:30,4.7,5,85,南京
"鸡鸣寺Jiming Temple",07:00-17:30,4.5,1.5,4.2,南京
"夫子庙Confucius Temple",09:00-22:00,4.5,2,0,南京
"玄武湖景区Xuanwu Lake",08:00-17:00,4.7,4,59.9,南京
"栖霞山Qixia Mountain",08:00-16:00,4.6,2.5,23,南京
"南京1912街Nanjing 1912 Pub Street",11:30-02:00,4.5,2,1912,南京
"红山森林动物园Hongshan Forest Zoo",08:30-18:00,4.6,5,40,南京
"美龄宫Meiling Palace",07:30-18:00,4.7,1.5,29.5,南京
"南京海底世界Nanjing Underwater World",08:30-17:00,4.5,3.5,108,南京
"南京城墙Nanjing City Wall",08:30-17:00,4.6,5.5,30,南京
"瞻园Zhan Garden",8:00-20:30,4.6,2.5,30,南京
"梅花山Meihuashan",6:30-18:00,4.7,3,60,南京
"金牛湖野生动物王国Jinniu Lake Safari Park",09:00-16:00,4.2,4,120,南京
"中国科举博物馆(江南贡院)China Imperial Examination Museum (Jiangnan Gongyuan)",09:00-21:00,4.7,1.5,45.8,南京
"紫金山天文台Purple Mountain Observatory",09:00-17:00,4.5,1.5,15,南京
"中华门瓮城Zhonghua Gate",08:30-17:00,4.6,1.5,45,南京
"梅园新村纪念馆Meiyuan Xincun Memorial Hall",09:00-05:00,4.7,1.5,6,南京
"莫愁湖景区Mochou Lake Park",07:00-18:00,4.3,2.5,0.2,南京
"中山陵音乐台",7:00-18:00,3.9,1,10,南京
"南京中山植物园Nanjing Zhongshan Botanical Garden",8:30-17:00,4.5,2.5,14,南京
"南京云锦博物馆Nanjing Yunjin Museum",10:00-16:00,4.5,1.5,0,南京
"中山码头Zhongshan Ferry Terminal",06:00-19:00,4.6,1,2,南京
"阅江楼Yuejiang Tower",08:00-17:00,4.7,2,35,南京
"清凉山公园Qingliangshan Park",9:00-17:00,4.5,1.5,7,南京
"汤山翠谷现代农业示范园",9:00-16:30,3.5,2,50,南京
"清代四川贡院Sichuan Qing Dynasty Imperial Examination Hall",8:00-18:30,4.5,2,50,南充
"太蓬山Tai Peng Mountain",08:00-18:00,4.7,1,100,南充
"阆中古城地质矿物博览馆Langzhong Ancient City Geological Exhibition Hall",09:00-18:00,4.9,2.5,45,南充
"青秀山Qingxiu Mountain",06:00-23:59,4.7,12,18,南宁
"扬美古镇Yangmei Ancient Town",8:30-18:00,3.8,72,10,南宁
"花花大世界Great Flower World",9:00-17:00,4.4,12,32,南宁
"南宁动物园Nanning Zoo",07:30-17:30,4.4,4.5,50,南宁
"广西药用植物园Guangxi Medical Botanical Garden",8:00-17:30,4.3,2.5,20,南宁
"广西龙虎山风景区Longhushan Nature Reserve",8:30-17:30,4.4,3.5,55,南宁
"良凤江国家森林公园Liangfengjiang National Forest Park",9:00-17:00,4.1,3.5,15,南宁
"民族文物苑Nationality Antique Yuan",08:30-17:30,4.5,1,8,南宁
"大王滩景区Daiwangtan Sceneic Area",8:00-18:00,3.8,12,5,南宁
"金伦洞Mashan Jinlundong",9:00-17:00,4.2,2,90,南宁
"南宁海底世界Seabed World",9:00-17:30,4.4,2.5,45,南宁
"南宁人民公园Nanning People's Park",6:00-22:00,4.5,2,6,南宁
"凤凰谷景区Phoenix Valley Scenic Area",8:00-17:30,4.3,3.5,35,南宁
"起凤山Qifeng Mountain",9:00-17:00,4.1,5,7.9,南宁
"六景泥盆系剖面liujingnipenxipoumian",8:00-17:00,4.7,2.5,10,南宁
"滕王阁Tengwang Pavilion",08:00-18:30,4.6,1.5,88,南昌
"绳金塔Shengjin Tower",08:30-17:00,4.4,1,10,南昌
"梅岭国家级风景名胜区Meiling National Scenic Area",8:30-17:00,4.5,3.5,36,南昌
"洪崖丹井景区Hongyadan Well Scenic Area",8:00-17:00,4.3,1.5,15,南昌
"梅岭竹海明珠Meiling Zhuhai Pearl",08:30-17:00,4.1,3,35,南昌
"朱德旧居Zhu De's Former Residence",8:00-18:00,4.7,1,2,南昌
"佑民寺Youmin Temple",9:00-18:00,4.6,1,2,南昌
"厚田沙漠Houtian Desert",8:30-17:00,3.9,2.5,24,南昌
"洪崖丹井",9:00-17:00,3.8,1,15,南昌
"安义古村Anyi Village",8:30-18:00,4.3,3.5,57.2,南昌
"梅岭狮子峰Meiling Lion Peak",08:00-17:00,4.3,1.5,36,南昌
"八一南昌起义总指挥部旧址",8:00-17:30,4.4,0.5,0,南昌
"南昌海洋公园Nanchang Ocean Park",8:30-17:00,4.4,2.5,120,南昌
"南昌动物园Nanchang Zoo",8:30-18:30,4,2.5,76,南昌
"洪崖书画院Hongya Painting and Calligraphy Institute",8:00-20:00,4.8,1,10,南昌
"汪山土库Wangshan Tuku",9:00-17:00,4.5,1.5,6,南昌
"南通森林野生动物园Nantong Senlin Yesheng Zoo",09:00-17:00,4.7,2,425,南通
"黄金海滩Golden Beach",08:30-17:30,4.4,2.5,7,南通
"狼山风景区Lang Mountains Scenic Area",08:30-16:30,4.5,2,63,南通
"南通洲际绿博园Nantong Intercontinental Green Expo",7:30-18:00,4.6,2.5,74.1,南通
"水绘园Shuihuiyuan Park",8:00-17:30,4.7,2.5,9,南通
"啬园Sik Park",8:30-17:00,4.8,1.5,18,南通
"蛎岈山国家海洋公园Liyashan National Marine Park",8:00-17:30,4.5,72,20,南通
"剑山The Sword Mountain",8:00-17:00,4.6,2.5,5,南通
"定慧禅寺Dinghui Zen Temple",5:00-17:00,4.7,1.5,7,南通
"苏中七战七捷纪念馆Suzhong Seven Battle Seven Victory Memorial Hall",09:00-11:30,4.6,1,20,南通
"南通园艺博览园Nantong Horticultural Expo Park",6:00-16:30,4.6,2.5,7,南通
"南阳卧龙岗武侯祠Nanyang Wuhou Temple",8:00-18:00,4.4,3.5,45,南阳
"七峰山生态旅游区Qifeng Mountain Ecological Tourism Area",7:00-17:30,4.1,12,60,南阳
"老界岭旅游度假区Laojie (Old Boundary) Ridge",08:00-17:30,4.5,12,300,南阳
"南阳府衙District Magistrate Office in Nanyang",8:00-18:00,4.4,3.5,36,南阳
"山陕会馆Sheqi Shanxi and Shaanxi Hall",8:00-18:00,4.4,2.5,6,南阳
"内乡县衙Neixiang County Yamen (Administrative office or residence of the local official in imperial China)",8:00-17:00,4.5,1.5,75,南阳
"花洲书院Nanyang Huazhou Academy",8:00-17:30,4.7,1.5,24.7,南阳
"桐柏山淮源风景区Tongbaishan Huaiyuan Scenic Spot",8:00-18:00,4.4,1,55,南阳
"五道幢Wudaozhuang Ticket Office",8:00-17:00,4.2,12,60,南阳
"宝天曼生态旅游区Baotianman Ecological Tourism Area",8:00-18:00,4.5,2.5,90,南阳
"南阳五朵山Nanyang Wuduo (Five) Mountain Scenic Area",8:00-18:00,4.1,4,9,南阳
"伏牛地下河Funiu Underground River",7:00-19:00,4.3,2,60,南阳
"老鹳河漂流风景区",8:00-17:00,5,2,168,南阳
"寺山国家森林公园Sishan National Forest Park",6:30-18:00,4,1.5,50,南阳
"赛里木湖Sayram Lake",10:00-20:00,4.7,108,144.6,博尔塔拉
"厦门园林植物园Xiamen Botanical Garden",6:30-18:00,4.6,3.5,30,厦门
"钟鼓索道Zhonggu Cableway",8:30-17:30,4.6,2,80,厦门
"猫咪博物馆Cat Museum",11:30-20:00,4.2,2,0,厦门
"胡里山炮台Hulishan Fort",08:00-17:30,4.6,1.5,23,厦门
"海天堂构Sea paradise",08:30-15:30,4.7,1,74.5,厦门
"嘉庚公园Jiageng Park",5:30-22:30,4.6,2,0.5,厦门
"厦门青少年天文科技馆Xiamen Youth Astronomy Science & Technology Museum",9:00-18:00,4.8,12,99,厦门
"同安影视城Xiamen Tong'An Movie & TV City",8:00-17:20,4.2,12,39.9,厦门
"海上明珠观光塔Sea Pearl Tourist Tower",8:00-21:00,4.5,1.5,50,厦门
"帷幕开啦红地毯蜡像艺术馆Red Carpet Wax Museum",08:30-20:00,4.4,2.5,78,厦门
"毓园Yu Garden",8:00-17:30,4.6,1.5,79,厦门
"鳌园Turtle Garden",8:00-17:30,4.5,1,20,厦门
"龙舟池The Lake of Dragon Boat",8:00-18:00,4.5,1,328,厦门
"神仙居Shenxianju",8:00-17:00,4.5,3.5,99,台州
"国清景区Guoqing Scenic Area",7:30-16:00,4.7,1.5,12,台州
"石塘Shitang Town",7:30-17:00,4.5,144,3,台州
"台州府城文化旅游区Taizhou Fucheng Cultural Tourism Zone",7:00-17:30,4.6,2.5,8,台州
"东湖（台州府城）Donghu Lake",07:00-18:00,4.5,2.5,45,台州
"石梁飞瀑Shiliang Waterfall",8:00-16:00,4.7,3,50,台州
"景星岩Xianju Jingxing Cliff Scenic Spot & Historical Site",8:00-17:00,4.2,324,50,台州
"琼台仙谷Taizhou Qiongtai Xiangu Scenic Resort",08:00-16:00,4.6,3.5,55,台州
"淡竹休闲谷Danzhu Leisure Valley",8:00-16:30,4.1,5,44.9,台州
"大鹿岛Dalu Island",7:30-17:30,4.2,4.5,40.5,台州
"天台山大瀑布Tiantai Mountain Waterfall",08:00-17:00,4.4,2,100,台州
"高明寺Gaomingsi",09:00-17:00,4.5,1,0,台州
"温岭方山景区Wenling Fangshan Scenic Area",8:00-16:30,4.7,12,32,台州
"皤滩古镇Potan Ancient Town",8:00-16:10,4,2.5,32,台州
"华顶国家森林公园Huading National Forest Park",7:30-17:00,4.3,3,40,台州
"赤城山Chicheng Mountain",8:00-16:00,4.2,1.5,14.9,台州
"三河古镇Sanhe Ancient Town",8:00-17:00,4.7,12,0.1,合肥
"海棠花海Crabapple Flower Sea",9:00-18:00,3.3,2.5,26.9,合肥
"逍遥津公园Xiaoyaojin Park",10:00-18:00,4.4,2.5,6,合肥
"岱山湖Daishan Lake",8:00-17:30,4.2,2.5,35,合肥
"明教寺Mingjiao Temple",6:30-18:00,4.2,2,7,合肥
"合肥植物园Hefei Arboretum",8:00-18:00,4.5,3,6,合肥
"三国遗址公园Three Kingdoms Site Park",8:30-18:00,4.1,4.5,25,合肥
"清风阁Qingfeng Pavilion",8:00-17:00,4.4,1.5,40,合肥
"合肥野生动物园Hefei Wild Animal Park",8:00-18:00,4.3,12,45,合肥
"茨坪毛泽东同志旧居",8:00-17:00,4.3,1,5,吉安
"富田景区Futian Scenic Area",8:30-17:30,4.5,12,70,吉安
"燕坊古村Yanfang Ancient Village",8:00-18:00,4.1,12,40,吉安
"五指峰景区",8:00-17:00,5,3,1,吉安
"石燕洞Shiyan Cave",8:00-16:00,3.9,1,60,吉安
"青原山Qingyuan Mountain",9:00-17:00,4.5,3.5,15,吉安
"桐木岭景区Tongmuling Scenic Area",8:00-16:00,4.7,12,156,吉安
"安福武功山Anfu Wugong Mountain",08:00-17:30,4.4,108,90,吉安
"吉林松花湖风景名胜区Songhua Lake Scenic Spot (Jilin)",6:00-17:30,4.5,4,10,吉林市
"神农温泉度假村Shennong Hot Spring Resort",8:30-20:30,4.5,12,69.9,吉林市
"吐鲁番博物馆Turpan Museum",10:00-19:00,4.6,2.5,108,吐鲁番
"高昌故城Ancient City of Gaochang",8:00-21:00,4.3,3,66.5,吐鲁番
"柏孜克里克千佛洞Bezeklik Thousand Buddha Caves",8:00-20:00,4.2,2.5,38,吐鲁番
"阿斯塔那古墓群Astana Ancient Tombs",10:00-18:30,4.2,2.5,38,吐鲁番
"沙山公园Sha Mountain Park",10:00-19:00,4.8,2.5,65,吐鲁番
"沙雕区Sand Sculpture",9:30-20:00,5,1.25,30,吐鲁番
"吐峪沟Tuyugou",10:00-20:30,4.2,12,30,吐鲁番
"火云谷景区Huoyungu Sceneic Area",10:00-20:00,4.5,2.5,38,吐鲁番
"坎儿井传承区Karez Heritage Area",9:00-20:00,4.5,1.5,28.5,吐鲁番
"吐鲁番火焰山大景区Turpan Flame Mountain Scenic Area",9:00-20:30,4.1,2.5,38,吐鲁番
"交河驿·坎儿井源Jiaohe Post Scenic Area—Source of Karez",9:30-20:00,4.3,1.5,38,吐鲁番
"吐峪沟大峡谷Tuyugou Grand Canyon",8:00-20:00,4.5,2.5,50,吐鲁番
"台藏塔Taizang Pagoda",8:00-21:00,4,1,40,吐鲁番
"坎儿井乐园Kanerjing Paradise",8:00-20:00,4.3,12,38,吐鲁番
"北武当山North Wudang Mountain",6:00-18:00,4.4,4,0.5,吕梁
"白马仙洞Baima Fairy Hole",8:00-18:00,3.4,1,50,吕梁
"贾家庄文化生态旅游景区Jiajiazhuang Tourism Area",08:00-18:30,4.1,12,40,吕梁
"武则天纪念馆Wuzetian Memorial Hall",8:30-17:30,4.2,1,7,吕梁
"玄中寺Xuanzhong Temple",8:00-18:00,4.6,1.5,30,吕梁
"卦山Hexagrams Mountain",8:00-17:30,4.3,2.5,9,吕梁
"上林舍生态旅游度假区Shanglinshe Ecological Tourism Resort",9:00-19:00,3.7,12,168,吕梁
"青铜峡黄河大峡谷Qingtongxia Yellow River Canyon",08:00-18:30,4.1,12,40,吴忠
"青铜峡108塔108 Tower s of Qingtongxia",9:00-17:00,4.4,1.5,30,吴忠
"紫云观Ziyun Taoist Temple",8:00-18:00,4.5,1.5,0,吴忠
"黄河坛Yellow River Altar",9:00-16:00,4.2,2,45,吴忠
"老子故里旅游区Hometown of Laotze",08:00-18:00,4.5,3,10,周口
"太清宫Taiqing Palace",08:00-18:00,4.3,1,10,周口
"周口野生动物世界Zhoukou Wildlife World",09:00-18:00,4.6,2.5,138,周口
"老子历史博物馆",8:00-18:00,5,2.5,16,周口
"周口海洋馆Zhoukou Aquarium",09:00-18:00,4.7,2.5,118,周口
"满洲里国门景区Manzhouli Guomen Scenic Area",09:00-17:30,4.5,0.75,127,呼伦贝尔
"世界反法西斯战争海拉尔纪念园World Anti-Fascist War Memorial Hailar",08:30-17:30,4.6,2,60,呼伦贝尔
"海拉尔国家森林公园Hailar National Forest Park",08:00-17:30,4.2,3.5,7,呼伦贝尔
"中俄互市贸易区China-Russia Trade Zone",9:00-17:00,3.8,1.5,128,呼伦贝尔
"186彩带河186 Ribbon River",07:30-19:30,4.3,2.5,30,呼伦贝尔
"莫尔道嘎国家森林公园Moerdaoga National Forest Park",08:30-17:00,3.9,5,130,呼伦贝尔
"根河源国家湿地公园Genheyuan National Wetland Park",08:00-18:00,4.3,2.5,65,呼伦贝尔
"白桦林景区Birch Forest Scenic Area",08:00-18:00,4.5,2.5,28,呼伦贝尔
"海拉尔要塞",9:00-17:00,4.2,1,20,呼伦贝尔
"甘珠尔庙Gan Zhu'ermiao",8:00-18:00,4.1,1.5,5,呼伦贝尔
"红花尔基樟子松国家森林公园Honghua'erji National Forest Park of Pinus Sylvestris Var Mongolica",8:30-18:00,4.4,4.5,60,呼伦贝尔
"达尔吉林寺Da'er Jilin Si",8:30-17:30,4.3,1.5,7,呼伦贝尔
"呼伦贝尔民族博物馆",8:00-12:00,4.8,0.5,198,呼伦贝尔
"婚礼宫Wedding Palace",8:30-17:30,4.3,3.5,128,呼伦贝尔
"嘎仙洞森林公园Gaxiandong Forest Park",8:00-18:00,4.3,1.5,20,呼伦贝尔
"席力图召Xilitu Zhao  Temple",08:00-18:00,4.5,1,7,呼和浩特
"清真大寺Great Mosque",8:30-18:00,4.6,1,5,呼和浩特
"黄河大峡谷?老牛湾旅游区The Yellow River Grand Canyon Lao Niu Wan Tourist Area",8:00-19:00,4.4,1.5,35,呼和浩特
"乌素图召Wusutuzhao Temples",8:00-18:00,4.8,2.5,5,呼和浩特
"蒙牛工业旅游景区Mengniu Industrial Scenic Spot",9:20-11:00,4.5,2.5,6,呼和浩特
"泉寿湾（贾浪沟）旅游景区Quanshou Bay (Jialang Ditch) Scenic Spot",8:30-17:00,3.2,12,49,呼和浩特
"策勒县达玛沟佛教遗址博物馆Celeixian Damagou Fojiao Ruins Museum",9:00-17:00,5,1.5,0,和田
"九宫山Jiugong Mountains",8:30-17:30,4.3,72,45,咸宁
"汉商温泉",10:30-24:00,3,6,98,咸宁
"陆水湖风景区Lushui Lake Scenic Spot",08:00-17:00,4.1,2,79,咸宁
"闯王陵Chuangwang Tomb",8:00-18:00,3.6,1.5,20,咸宁
"壶头峡漂流",10:30-15:00,3,4,180,咸宁
"万亩茶园·茶园里梦想小镇Miles Tea Garden · Tetris Town",08:30-17:30,3.5,12,55,咸宁
"印象林花生态谷Impression Linhua Ecological Valley",9:00-16:30,4.5,2.5,60,咸宁
"乾陵Qinling Mausoleum",8:00-18:00,4.5,2.5,50,咸阳
"汉阳陵国家考古遗址公园Hanyang Mausoleum Museum",8:30-18:30,4.5,2.5,65,咸阳
"茂陵Maoling",08:00-18:00,4.3,2.5,37,咸阳
"咸阳博物馆Xianyang Museum",08:00-18:00,4.6,1.5,0,咸阳
"袁家村Yuanjia Village",07:30-20:00,4.5,3.5,68,咸阳
"昭陵博物馆",09:00-17:30,5,2.5,30,咸阳
"昭陵Zhao Mausoleum",8:00-20:00,4.2,1.5,30,咸阳
"杨贵妃墓The Tomb of Yang Guifei",8:30-18:00,4.4,1,7,咸阳
"顺陵",8:00-18:00,4,1,10,咸阳
"西汉帝陵The Emperor’s Mausoleum of the Western Han Dynasty",8:00-17:00,5,2.5,3,咸阳
"蓝波湾温泉水世界Lanbowan Hot Spring Water World",8:00-23:00,4.3,2,68,咸阳
"天山风景名胜区Tianshan Scenery Attractions",8:00-17:00,4.5,1,10,哈密
"盖斯墓Gaisimu",9:30-19:00,3.7,1,10,哈密
"东疆夏宫·庙尔沟景区Miao'ergou",09:30-19:30,4.4,2.5,20,哈密
"哈密赏石文化博物馆Hami Stone Culture Museum",10:00-19:00,4.6,2.5,25,哈密
"伊吾胡杨林Yiwu Populus Euphratica",08:30-19:30,4.3,4.5,35,哈密
"巴里坤地藏寺仙姑庙景区Xiangu Temple of Balikun",8:00-20:00,4.8,2,20,哈密
"回王府King's Palace",9:30-19:30,4.2,1.5,30,哈密
"太阳岛风景区Sun Island Scenic Area",07:30-17:30,4.4,72,0,哈尔滨
"龙塔Dragon Tower",09:00-17:00,4.4,2.5,140,哈尔滨
"东北虎林园Northeast Tiger Forest Park",08:00-16:30,4.6,2.5,114,哈尔滨
"哈尔滨冰雪大世界Harbin Ice and Snow World",11:00-22:00,4.7,4.5,330,哈尔滨
"伏尔加庄园Volga Manor",08:00-16:30,4.6,12,90,哈尔滨
"帽儿山Maoer Mountain",07:30-17:00,4.3,72,40,哈尔滨
"哈尔滨融创乐园Harbin Wanda Theme Park",09:30-21:30,4.6,12,99,哈尔滨
"亚布力观光缆车及世界第一滑道Yabuli Sightseeing Cableway And World's Top Slide",08:00-16:00,4.7,12,280,哈尔滨
"龙珠二龙山滑雪场Longzhu Erlongshan Ski Resort",8:00-17:00,4.5,12,10,哈尔滨
"北方森林动物园Beifang Forest Zoo",08:00-16:00,4.6,5,0.5,哈尔滨
"瓦西里风情文化街Waxili Fengqing Culture Street",10:00-0:00,4,2.5,0,哈尔滨
"俄罗斯风情小镇Russian Style Town",8:30-16:30,4.2,1.5,20,哈尔滨
"哈尔滨文化公园Harbin Cultural Park",08:30-17:00,4.5,4,9,哈尔滨
"极乐寺Jile Temple",8:00-15:30,4.6,1.5,1,哈尔滨
"香炉山国家森林公园Mount Xianglu",08:00-17:00,4.5,4.5,40,哈尔滨
"威虎山森林公园Weihu Mountain Forest Park",8:00-16:00,3.5,4,29.9,哈尔滨
"龙江亚布力冰雪文化展馆",9:00-15:00,4,1,50,哈尔滨
"金龙山国家森林公园Jinlong Mountain National Forest Park",08:00-16:00,4.5,5,50,哈尔滨
"金河旅游公园Jinhe Park",8:00-18:00,4.1,1,30,哈尔滨
"月岛Yuetuo Island",9:00-16:30,4.2,108,168,唐山
"菩提岛Puti Island",8:30-17:00,4.2,4,100,唐山
"金沙岛Jinsha Island",8:00-18:00,4.3,12,60,唐山
"李大钊纪念馆Li Dazhao Memorial Hall (South Gate)",8:30-17:30,4.8,2,20,唐山
"新戴河浅水湾浴场Xindai River Qianshui Bay Baths",6:00-24:00,3,2.5,10,唐山
"景忠山旅游区",8:30-17:00,3.5,24,65,唐山
"白羊峪长城旅游区Great Wall Baiyangyu Tourist Area",08:30-17:00,4.4,3,30,唐山
"禅林寺古银杏风景园Ancient Ginkgo Garden of Chanlin Temple",7:00-17:00,4.5,12,50,唐山
"万佛园Wanfoyuan",8:30-16:30,4.2,1.5,25,唐山
"壮悔堂Zhuanghui Hall",8:00-18:00,3.7,1,20,商丘
"八关斋Baguanzhai",8:00-17:30,3.9,1.5,10,商丘
"应天书院Yingtian Academy",9:00-17:30,3.8,1,0,商丘
"僖山景区",08:00-18:00,5,72,30,商丘
"睢阳区博物馆Suiyangqu Museum",8:00-17:30,5,2.5,0,商丘
"金丝峡景区Jinsi Canyon Scenic Area",07:30-16:30,4.5,72,95,商洛
"牛背梁国家森林公园Niubeiliang National Forest Park",8:00-18:00,4.2,72,101,商洛
"塔云山",06:00-21:00,4.3,4,80,商洛
"木王国家森林公园Muwang National Forest Park",08:00-18:00,4.3,5.5,19.9,商洛
"秦岭洞天福地景区Qinling Dongtian Fudi Scenic Area",09:00-17:00,4.4,1,90,商洛
"天竺山国家森林公园",8:00-18:00,5,4,80,商洛
"香妃园Tomb of the Fragrant Concubine",09:30-20:30,4.3,2.5,29,喀什
"艾提尕尔清真寺Id Kah Mosque",10:30-19:00,4.1,2,44,喀什
"喀什大巴扎Kashgar Grand Bazaar",11:00-20:00,4.3,3.5,5,喀什
"喀什古石头城The Ancient Stone Town of Kashgar",10:30-19:30,4.4,1.5,7,喀什
"金湖杨国家森林公园Jinhuyang National Forest Park",10:00-20:00,4.5,3.5,38,喀什
"乌镇Wuzhen Water Town",7:00-18:00,4.6,108,150,嘉兴
"盐官古镇Yanguan Ancient Town",8:00-16:30,4.3,5.5,15,嘉兴
"梅花洲Meihuazhou Scenic Area",08:00-17:00,4.4,4,42,嘉兴
"南北湖North and South Lake",08:00-17:00,4.4,2.5,50,嘉兴
"茅盾故居Former residence of Mao Dun",8:00-17:00,4.4,0.5,110,嘉兴
"东栅East Gate",07:00-18:00,4.3,3.5,110,嘉兴
"烟雨长廊Ceilinged Corridors",8:00-17:00,4.6,2,85,嘉兴
"海宁盐官旅游度假区Haining Yanguan Tourist Resort",08:00-16:30,4.3,12,10,嘉兴
"观潮胜地公园Guanchao Shengdi Park",8:00-16:30,4.1,2.5,15,嘉兴
"九龙山国家森林公园Jiulongshan National Forest Park",08:00-17:00,3.9,4,6,嘉兴
"财神湾Fortuna Bend",9:00-16:30,4.3,0.3,0,嘉兴
"歌斐颂巧克力小镇Aficion Chocolate Town",9:00-16:30,4.5,1.5,2,嘉兴
"江南木雕博物馆",07:00-17:30,4,0.4,110,嘉兴
"云澜湾·四季花海乐园Yunlanwan-Four Seasons Flower Park",8:30-21:00,4.4,2.5,29.9,嘉兴
"凌公塘文化主题公园Linggongtang Culture Theme Park",8:00-16:30,4.6,12,0,嘉兴
"圣母显灵堂",8:00-17:00,4,1.5,0,嘉兴
"逢源双桥Fengyuan Double Bridge",9:00-16:30,4.5,0.3,150,嘉兴
"安境桥Anjing Bridge",8:00-16:30,4.7,0.5,100,嘉兴
"中国酒文化博物馆China Wine Culture Museum",08:00-16:30,4.3,0.5,0,嘉兴
"种福堂Zhongfutang",8:30-17:00,4.6,0.3,0,嘉兴
"七老爷庙",8:00-16:30,3,1,100,嘉兴
